num,importe_total,numero_factura,cif,dni,cp,potencia_contratada,consumo,initial_date,final_date,nuevo_consumo,nuevo_cif,fecha_cargo,nombre_cliente
25,"118,22",N5169844634,A74472911,62188915C,"['25352', '25352', '25352', '48010']","3,498",390.0,16.11.1990,15.01.1991,390.0,A74472911,20.01.1991,Ana Paniagua Gayoso
26,"56,19",K2191546949,B99514374,48133504R,"['50012', '13107', '50012']","5,514",62.0,27.09.2019,26.11.2019,62.0,B99514374.,01.12.2019,Immanuel Del Castillo Gavilán
27,"85,65",YJ3580972910,B76366723,88560078G,"['32812', '32812', '32812', '35010']","3,269",333.0,05.02.1999,07.03.1999,333.0,B76366723,12.03.1999,SIMONA NAVARRO ESCOVAR
28,"79,32",NK5127453551,A95978581,48722079Y,"['05630', '05630', '05630', '48010']","3,634",259.0,05.09.2003,05.10.2003,259.0,A95978581,10.10.2003,Neptuno Olmeda Escoto
29,"149,58",EC7247639417,B25687401,10553428Q,"['08911', '09593', '08911']","3,382",642.0,08.08.2011,07.10.2011,642.0,B25687401.,12.10.2011,Rodrigo Uribe Gallegos
30,"253,42",YC5578709321,F94090792,54254277Z,"['36619', '18810', '36619']","3,350",962.0,10.12.1994,08.02.1995,962.0,F94090792.,13.02.1995,FILOMENO SARDINAS CEVALLOS
31,"256,51",J7792611715,F39781794,98684139V,"['39009', '42127', '39009']","2,255",1092.0,01.01.2016,01.03.2016,1092.0,F39781794.,06.03.2016,MACEDONIO DE LA CRUZ JERANO
32,"78,21",M4688726769,B87579769,98171042G,"['28036', '18014', '28036']","5,605",190.0,08.01.2001,07.02.2001,190.0,B87579769.,12.02.2001,IRIS BENÍTEZ BACA
33,"103,55",MJ6781325884,B73977464,91739291L,"['39011', '39011', '39011', '30880']","3,941",330.0,08.07.2002,06.09.2002,330.0,B73977464,11.09.2002,Heliana Quevedo Fábregas
34,"56,60",DL3194040024,B08280061,55306497F,"['75017', '31793']","6,042",10.0,16.09.1997,15.11.1997,10.0,B08280061.,20.11.1997,ORANGEL SUÁREZ CAMARENO
35,"54,25",PP9412940522,B87177408,67116961V,"['37497', '37497', '37497', '28823']","3,295",153.0,23.01.2013,22.02.2013,153.0,B87177408,27.02.2013,ROMANA UREÑA DE LA CUESTA
36,"32,90",O4045977991,B87910352,72153362Q,"['29788', '29788', '29788', '28010']","4,098",0.0,02.11.2005,01.01.2006,0.0,B87910352,06.01.2006,Violeta Fábregas Venegas
37,"183,95",E1302319820,B83393066,75424392D,"['28042', '25193', '28042']","2,141",684.0,17.07.2005,15.09.2005,684.0,B83393066.,20.09.2005,Benedicta Zaldívar Noble
38,"309,69",FZ8633350745,B25365180,20075343T,"['25700', '31153', '25700', '63042', '41080']","3,612",992.0,26.08.2010,25.10.2010,992.0,B25365180,30.10.2010,Romeo Morillo Quesada
39,"51,96",S6030593801,B85969491,81132979L,"['08520', '08520', '08520', '14020', '14078', '28400']","5,235",85.0,22.08.1999,21.09.1999,85.0,B85969491,26.09.1999,Gunter Moscoa Ocampo
40,"21,16",MZ2576856894,B76200070,46247881X,"['35500', '50793', '35500', '84237', '41080']","2,407",0.0,22.07.1990,20.09.1990,0.0,"['B76200070', 'E']",25.09.1990,ODILÓN NOGUERA TARACENA
41,"339,77",R7020001789,[],71801872N,47419,"3,65",1214.0,30.09.2003,29.11.2003,1214.0,DK36201770,04.12.2003,Orfilia Montero López
42,"233,11",Y8500826172,B90332776,90803879V,"['41927', '20569', '41927']","4,772",674.0,18.02.2013,19.04.2013,674.0,B90332776.,24.04.2013,Lujan Verti Grijalba
43,"57,50",FE2682205056,B25378779,94113940X,"['25006', '25006', '27439', '27439', '27439', '25006', '25006']","1,74",154.0,02.04.2002,01.06.2002,154.0,B25378779,06.06.2002,ROGELIO SUÁREZ MEDINA
44,"112,20",EZ2820191804,B98194780,37725963Y,"['33119', '33119', '33119', '46610']","2,162",302.0,22.12.2005,21.01.2006,302.0,B98194780,26.01.2006,ANABEL PUENTE VANEGAS
45,"254,37",H8841218747,[],47128440Z,34246,"3,747",1140.0,28.04.2021,27.06.2021,1140.0,CH243039.,02.07.2021,NEREO OTERO GODINES
46,"107,89",M8613105612,[],36814158J,"['10623', '10623', '27117', '27117', '27117', '10623', '10623']","3,61",260.0,06.04.2014,05.06.2014,260.0,DE289523572,10.06.2014,Kenzo Estrada Salazar
47,"132,93",D6034231723,B02494375,36368114P,"['02006', '02006', '28911', '28911', '28911', '02006', '02006']","4,70",368.0,26.03.2019,25.05.2019,368.0,B02494375,30.05.2019,JERJES LEYVA VIDAL
48,"44,03",Z7413508496,B02494375,82596540K,"['02006', '23688', '02006']","3,271",108.0,29.06.2007,29.07.2007,108.0,B02494375.,03.08.2007,WOLFANGO CASAS JARAMILLO
49,"108,05",QU2486164915,B66040312,59068708Q,"['08210', '08210', '19284', '19284', '19284', '08210', '08210']","5,31",315.0,04.09.1992,04.10.1992,315.0,B66040312,09.10.1992,LILIANA PEÑA DÁVILA
50,"189,49",YL2724152930,B93543908,80181585C,"['24723', '24723', '24723', '29640']","2,930",774.0,26.07.1996,24.09.1996,774.0,B93543908,29.09.1996,Atila Nieto Olmeda
51,"349,53",Z5078487175,B39872775,89683781L,"['39313', '17465', '39313']","4,299",1042.0,01.02.2010,02.04.2010,1042.0,B39872775.,07.04.2010,Poncio Batalla Paz
52,"135,85",H9486079804,A61293387,53147138A,"['08922', '41809', '08922', '64320', '41080']","3,632",543.0,11.08.2014,10.09.2014,543.0,A61293387,15.09.2014,Job Parra Guillén
53,"139,38",GK4062700484,B98625080,65647521R,"['46950', '46950', '40569', '40569', '40569', '46950', '46950']","3,64",326.0,14.09.1995,13.11.1995,326.0,B98625080,18.11.1995,Sándor Calleja Olmeda
54,"47,81",U9278565059,B54691589,90297577Z,"['25400', '25400', '25400', '03330']","4,714",91.0,15.11.1996,15.12.1996,91.0,B54691589,20.12.1996,Ali Gaitán Pacheco
55,"129,82",FI6352269578,B22410708,78382751Q,"['27279', '27279', '27279', '22660']","4,102",484.0,15.02.2010,17.03.2010,484.0,B22410708,22.03.2010,Karenina Zarco Peralta
56,"114,38",X2999978908,F37560554,88093454G,"['37173', '08640', '37173']","3,711",588.0,20.12.1993,18.02.1994,588.0,F37560554.,23.02.1994,Lucio Losada Marcías
57,"87,61",M2500456158,[],21871284D,16370,"3,276",236.0,12.01.2019,13.03.2019,236.0,CH243039.,18.03.2019,ALBA CUEVAS ALCOCER
58,"216,00",Y4502717531,B02494375,65630068M,"['02006', '02006', '03004', '03004', '03004', '02006', '02006']","4,07",760.0,02.11.2006,01.01.2007,760.0,B02494375,06.01.2007,REMIGIO SARDINAS SOLÉ
59,"228,12",KW5562286030,A62338827,88060598S,"['15702', '15702', '15702', '08911']","6,165",570.0,03.04.2020,02.06.2020,570.0,A62338827,07.06.2020,León Ayala Valdiva
60,"210,59",RL8050746290,B98196249,63220511C,"['18210', '18210', '18210', '46133']","3,716",642.0,12.03.1995,11.05.1995,642.0,B98196249,16.05.1995,Germánico Ozuno Molleda
61,"43,45",FT8083210057,B99514374,45011075Y,"['50012', '50012', '33827', '33827', '33827', '11097', '50012', '50012']","4,68",92.0,08.12.2002,07.01.2003,92.0,B99514374,12.01.2003,PERSEO MENA VALENTÍN
62,"177,60",AR4352115940,B36000180,93513532V,"['36830', '37618', '36830']","4,851",528.0,28.02.2014,29.04.2014,528.0,B36000180.,04.05.2014,Brisda Donato Daniel
63,"250,11",F8757154586,B66319138,77425632L,"['28191', '28191', '28191', '08036']","3,710",884.0,25.04.2017,24.06.2017,884.0,B66319138,29.06.2017,Candida Lorio Quijano
64,"100,69",P4808308546,B88549969,45684977P,"['03369', '03369', '03369', '28002']","4,052",310.0,20.08.2011,19.09.2011,310.0,B88549969,24.09.2011,Niobe Velarde Barrera
65,"122,40",J8985000598,B88575063,19863450Y,"['28001', '01015', '28001']","3,012",280.0,20.08.2009,19.10.2009,280.0,B88575063.,24.10.2009,GERALDINE FRÍAS UREÑA
66,"38,28",FV9004395282,B93400836,73469781F,"['33776', '33776', '33776', '28918']","3,793",112.0,20.07.1996,19.08.1996,112.0,B93400836,24.08.1996,Julieta Savala Puente
67,"101,19",NE2020407781,B30819577,38202383G,"['03190', '24516', '03190', '74038', '41080']","4,294",254.0,02.05.2001,01.07.2001,254.0,B30819577,06.07.2001,Inma Macías Céspedes
68,"92,88",S3894900807,B25732314,55168244F,"['25001', '25617', '25001', '25617', '25617', '25001', '25001']","4,06",302.0,16.10.1993,15.11.1993,302.0,B25732314,20.11.1993,Moira Ponce Quiroz
69,"157,04",DI5522988140,B87993937,47088651S,"['28020', '49693', '28020', '49320', '41080']","4,091",812.0,03.05.1994,02.07.1994,812.0,B87993937,07.07.1994,Minos Bonilla Parra
70,"374,32",B6519866397,B88489802,41436366A,"['28523', '24879', '28523', '26194', '41080']","1,512",1232.0,13.09.2006,12.11.2006,1232.0,B88489802,17.11.2006,Helena Reyes Zacarías
71,"528,50",Z9833156452,B01804400,39952759B,"['28045', '28045', '46178', '46178', '46178', '28045', '28045']","3,04",1498.0,12.09.2006,11.11.2006,1498.0,B01804400,16.11.2006,GIANNINA GARRIDO USAGA
72,"55,91",Z2826090753,B76361393,46472130D,"['19245', '19245', '19245', '35500']","1,312",189.0,04.12.1998,03.01.1999,189.0,B76361393,08.01.1999,ROSELINA QUESADA PEÑA
73,"76,01",EN5995420664,B30929442,54170384W,"['30868', '44540', '30868', '44540', '44540', '30868', '30868']","4,02",317.0,12.05.1999,11.06.1999,317.0,B30929442,16.06.1999,FILIBERTO VELASCO ALTAMIRANO
74,"181,45",C6367466359,B98462260,12039454N,"['20709', '20709', '20709', '46001']","4,431",588.0,22.01.1992,21.02.1992,588.0,B98462260,26.02.1992,MARCIANO OLGUÍN PRIETO
75,"123,48",LD3975366044,F46027298,77267929G,"['46168', '17733', '46168']","4,296",298.0,28.08.2018,27.10.2018,298.0,F46027298.,01.11.2018,GAIA TRIGUERO VÁSQUEZ
76,"433,66",QP6197479377,B65509887,53517917E,"['08500', '16647', '08500']","2,868",1416.0,26.05.2015,25.07.2015,1416.0,B65509887.,30.07.2015,Laia Zabaleta Travieso
77,"255,32",H9590951317,B55323091,89761126S,"['17310', '36891', '17310']","3,304",752.0,05.03.2016,05.05.2016,752.0,B55323091.,10.05.2016,CAÍN MIJARES VALES
78,"152,89",ES1133228080,B24373367,16640519L,"['24380', '17171', '24380', '24840', '41080']","3,868",464.0,04.06.2003,03.08.2003,464.0,B24373367,08.08.2003,RAFAELA VALENZUELA BORGES
79,"106,86",S9666486017,B99567364,19218582N,"['50004', '28409', '50004']","4,393",387.0,06.08.2021,05.09.2021,387.0,B99567364.,10.09.2021,PELAGIA VENEGAS BARRIENTOS
80,"42,44",VJ6758999384,B54985353,11110127T,"['03330', '32138', '03330']","4,300",50.0,06.01.2020,06.03.2020,50.0,B54985353.,11.03.2020,Oriana Silva Puente
81,"198,30",V2688379188,F12057196,89751691X,"['34889', '34889', '34889', '88053', '88041', '12100']","2,555",744.0,20.11.2000,19.01.2001,744.0,F12057196,24.01.2001,EMERSON TRONCOSO AGUSTÍN
82,"28,53",Z2938855658,B25780800,90906777J,"['08261', '08261', '26586', '26586', '26586', '08261', '08261']","3,69",0.0,02.03.1991,01.05.1991,0.0,B25780800,06.05.1991,Solana Ospino Echeverría
83,"36,94",EJ3741123689,A28039469,21779668W,"['28108', '40260', '28108']","4,098",122.0,19.04.2006,19.05.2006,122.0,A28039469.,24.05.2006,FORTUNATO CHÁVEZ LINES
84,"174,54",H9899337545,F46004750,51279403Y,"['46610', '45138', '46610', '45138', '45138', '46610', '46610']","2,96",742.0,27.01.2007,28.03.2007,742.0,F46004750,02.04.2007,KAY MATÍAS ROBLES
85,"145,99",ZD4845209531,B62139274,53855746G,"['28001', '45440', '28001']","3,276",575.0,30.03.1991,29.04.1991,575.0,B62139274.,04.05.1991,Salvio Hurtado Palazuelos
86,"268,39",FF3164094723,B66823881,89483469Z,"['08350', '33402', '08350']","3,786",958.0,15.11.2009,14.01.2010,958.0,B66823881.,19.01.2010,Imanol Silva Leandro
87,"28,28",M4923956166,B65960551,91538504E,"['08025', '08025', '28004', '28004', '28004', '44062', '08025', '08025']","3,56",0.0,17.01.2006,18.03.2006,0.0,B65960551,23.03.2006,JOHANNA DEL CASTILLO LARIOS
88,"60,85",QP4987916688,B04949384,87068473H,"['19320', '19320', '19320', '28011']","3,006",166.0,12.06.2013,12.07.2013,166.0,B04949384,17.07.2013,HUGO GUARDIOLA URIARTE
89,"24,05",V7673144226,B24291833,86937671V,"['24380', '49624', '24380', '23838', '41080']","3,070",0.0,13.07.2013,11.09.2013,0.0,B24291833,16.09.2013,Clarisa Parado Gayoso
90,"262,88",NL1591626563,[],95368073E,"['00198', '46392']","3,693",786.0,06.05.2014,05.07.2014,786.0,5918271007.,10.07.2014,Adelina Rosas Lombardo
91,"31,87",Q9902640484,B87095543,32722543Y,"['28023', '28023', '41661', '41661', '41661', '28023', '28023']","4,09",0.0,07.07.1996,05.09.1996,0.0,B87095543,10.09.1996,Pascual Lorio Camacho
92,"207,42",I7475898200,B73817033,61019767P,"['25170', '25170', '25170', '30150']","4,161",830.0,07.05.2009,06.07.2009,830.0,B73817033,11.07.2009,BENEDICTO FLORES GALLEGOS
93,"355,70",Y6535302234,B82207275,43606802K,"['33480', '33480', '33480', '28033']","3,882",1100.0,08.08.2000,07.10.2000,1100.0,B82207275,12.10.2000,Graciela Fonseca Montiel
94,"114,81",F3163720583,B95695136,83124941C,"['48991', '21209', '48991', '24825', '41080']","3,510",319.0,08.01.2021,07.02.2021,319.0,B95695136,12.02.2021,AQUILINO FRAGA VELARDE
95,"96,46",OW9533470004,B19505049,63753017F,"['28001', '23711', '28001']","3,704",336.0,25.04.2005,25.05.2005,336.0,B19505049.,30.05.2005,FLORIDA CERDA CUESTA
96,"161,92",G6066538371,F39781794,25218424M,"['09259', '09259', '09259', '39009']","4,631",550.0,03.04.1996,02.06.1996,550.0,F39781794,07.06.1996,Nahuel Macedo Dorado
97,"23,83",XR9755126423,B22410286,87730042S,"['22440', '18492', '22440']","5,810",0.0,29.11.2008,29.12.2008,0.0,B22410286.,03.01.2009,Fermín Vívez Padilla
98,"130,65",LV4564314976,B19317304,35544114Y,"['19174', '19174', '25211', '25211', '25211', '19174', '19174']","2,94",442.0,08.09.2008,07.11.2008,442.0,B19317304,12.11.2008,Adán Dueñas Escalante
99,"60,46",D3391442484,[],92279676L,12520,"4,652",190.0,22.03.2017,21.04.2017,190.0,GB735547907.,26.04.2017,CEFERINO JIMÉNEZ FARÍAS
100,"82,43",TO1016699250,B39829197,72165903E,"['39011', '19276', '39011']","4,565",256.0,18.10.2008,17.11.2008,256.0,B39829197.,22.11.2008,Hera Alcocer Zuleta
101,"314,86",LZ5009781638,B66027731,18796498R,"['08014', '08014', '15149', '15149', '15149', '08014', '08014']","4,34",954.0,20.08.2008,19.10.2008,954.0,B66027731,24.10.2008,RUFINO FRAGA PINO
102,"49,28",B4288861829,B85634350,84225139J,"['28660', '22194', '28660']","3,417",189.0,29.11.2019,29.12.2019,189.0,B85634350.,03.01.2020,NORMA OCAMPO VALDIVA
103,"159,94",T2206947904,B26266106,80276656D,"['26007', '23750', '26007']","3,868",460.0,07.05.2019,06.07.2019,460.0,B26266106.,11.07.2019,Clodoveo Mena Paladino
104,"27,14",C1273190823,B25616970,39436973T,"['25630', '15180', '25630']","5,118",30.0,02.05.2000,01.06.2000,30.0,B25616970.,06.06.2000,Ryan Taracena Escamilla
105,"40,01",L4325080393,F03013331,53098638X,"['03360', '25592', '03360']","5,110",0.0,30.12.2011,28.02.2012,0.0,F03013331.,04.03.2012,Washington Vargas Lamas
106,"340,95",C7230448290,B30001770,29429526Z,"['03330', '32434', '03330']","4,626",860.0,30.03.2008,29.05.2008,860.0,B30001770.,03.06.2008,BETHSABE OLMO MONTALVO
107,"35,17",ES2455391938,B76654771,45182207H,"['38110', '30749', '38110']","3,813",0.0,01.10.2004,30.11.2004,0.0,B76654771.,05.12.2004,LÁZARO VELARDE HURTADO
108,"376,60",R1852185655,B52031168,65329473C,"['52006', '52006', '47209', '47209', '47209', '52006', '52006']","4,21",1234.0,11.05.2000,10.07.2000,1234.0,B52031168,15.07.2000,MARVIN SALDAÑA GALÁN
109,"78,94",PX5548492507,[],61780913S,16720,"3,191",292.0,09.11.2007,08.01.2008,292.0,GB245122493,13.01.2008,Cristo Travieso Galván
110,"300,33",UC1821576432,A95758371,32950169R,"['48009', '30860', '48009']","3,714",1088.0,23.04.2020,22.06.2020,1088.0,A95758371.,27.06.2020,LUCAS ALFARO SAVALA
111,"137,80",H1099763850,B25829904,61047079L,"['25002', '25002', '09339', '09339', '09339', '25002', '25002']","2,04",447.0,18.11.2011,18.12.2011,447.0,B25829904,23.12.2011,ZOE GRANADOS LOBO
112,"315,49",R1435610031,B09378720,93327152Y,"['42315', '42315', '42315', '09500']","4,640",1120.0,01.03.2000,30.04.2000,1120.0,B09378720,05.05.2000,Tecla Cornejo Velasco
113,"174,40",QY8482937505,A73987646,42322294V,"['30009', '15316', '30009', '28392', '41080']","2,864",595.0,05.06.2005,05.07.2005,595.0,A73987646,10.07.2005,Ataúlfo Moscoa Mijares
114,"63,84",MO7666278721,B65960551,82447595R,"['33838', '33838', '33838', '44015', '08025', '44002']","5,284",218.0,09.07.2012,08.08.2012,218.0,B65960551,13.08.2012,Simón Gamboa Ayala
115,"158,90",MN4040302628,A78053147,73904992N,"['28050', '42230', '28050']","4,047",448.0,06.10.2006,05.12.2006,448.0,A78053147.,10.12.2006,Diego Caballero Marcías
116,"92,81",C7742177472,B64445224,64427822S,"['31243', '31243', '31243', '28001']","5,407",221.0,27.07.1993,26.08.1993,221.0,B64445224,31.08.1993,TEODOMIRO NOVOA CARRANZA
117,"62,30",YH9585589977,A08431090,14794211J,"['10666', '10666', '10666', '28033']","5,234",161.0,02.05.1995,01.06.1995,161.0,A08431090,06.06.1995,ESTRELLA ALAYÓN MARROQUÍ
118,"114,33",LR3851349579,[],43227791G,08737,"6,45",412.0,01.03.1992,31.03.1992,412.0,DK28113951,05.04.1992,FRUCTUOSO CÁRDENAS NOVO
119,"75,66",R4193893245,B84196997,46786291J,"['28033', '28033', '40241', '40241', '40241', '28033', '28033']","3,53",210.0,28.04.2020,28.05.2020,210.0,B84196997,02.06.2020,Tancredo Villareal Morillo
120,"93,80",BN7844757361,B65711855,74315109Q,"['16541', '16541', '16541', '08018']","4,402",321.0,04.05.1991,03.06.1991,321.0,B65711855,08.06.1991,Francisco Javier Chávez Mantilla
121,"316,46",U2896317531,B12595724,37573120K,"['17538', '17538', '17538', '12161']","4,463",810.0,19.01.2002,20.03.2002,810.0,B12595724,25.03.2002,Lucrecia Alanis Real
122,"61,46",S5998278264,B91794941,63343450R,"['41920', '43459', '41920']","3,741",226.0,17.01.2012,16.02.2012,226.0,B91794941.,21.02.2012,Ozana Alcázar Murillo
123,"100,29",V1465036716,B37500238,45439163H,"['28003', '28003', '46016', '46016', '46016', '28003', '28003']","4,77",296.0,06.10.2014,05.11.2014,296.0,B37500238,10.11.2014,Cleopatra Góngora Gayoso
124,"244,35",T9396049062,[],45498212A,09217,"2,863",622.0,09.08.2011,08.09.2011,622.0,758'297,13.09.2011,ROBINSON SÁNCHEZ VELA
125,"246,47",Y2326660743,B86855962,40381701A,"['44121', '44121', '44121', '28221']","2,566",832.0,25.10.1993,24.12.1993,832.0,B86855962,29.12.1993,JOVINO CUÉLLAR CARVAJAL
126,"88,58",AZ1221159397,B18831842,96652465W,"['18006', '45589', '18006']","2,495",348.0,01.04.1993,01.05.1993,348.0,B18831842.,06.05.1993,Primo Aguirre Velásquez
127,"43,24",YE4274714527,B87579769,14404121A,"['28036', '14910', '28036']","3,113",109.0,07.06.2010,07.07.2010,109.0,B87579769.,12.07.2010,KEVIN LOSADA ALANIS
128,"187,45",B8537057781,B19556299,45949985X,"['29006', '24374', '29006']","3,519",586.0,25.12.2003,23.02.2004,586.0,B19556299.,28.02.2004,MALCOLM ROMÁN MONTALVO
129,"349,10",M1526772068,B36878510,78756554T,"['11159', '11159', '11159', '36450']","2,536",1446.0,30.11.2008,29.01.2009,1446.0,B36878510,03.02.2009,Silvana Parra Llano
130,"97,54",DS6614737656,A82808007,83238613A,"['28001', '33456', '28001']","4,666",290.0,07.08.1993,06.09.1993,290.0,A82808007.,11.09.1993,LEANDRA MEDINA OLIVARES
131,"28,33",R8978802834,F94090792,58986620S,"['36619', '24339', '36619']","2,994",0.0,09.11.2005,08.01.2006,0.0,F94090792.,13.01.2006,LEOCRICIA ZULETA NOVOA
132,"413,24",F5100560518,B98898240,88846004V,"['46800', '47494', '46800']","3,778",1316.0,22.07.2000,20.09.2000,1316.0,B98898240.,25.09.2000,Mila Daniel Salas
133,"241,32",J5810999038,A98493125,77432649K,"['34408', '34408', '34408', '28028']","5,289",664.0,17.12.2002,15.02.2003,664.0,A98493125,20.02.2003,VICENTA CALLES LEYVA
134,"69,19",F3410447867,A95554630,95886381W,"['38410', '38410', '38410', '48009']","2,967",219.0,25.10.2020,24.11.2020,219.0,A95554630,29.11.2020,ROSAMUNDA VALES RIVAS
135,"46,88",J1453030892,A08800880,13772783S,"['08930', '19224', '08930']","4,847",0.0,05.02.2020,05.04.2020,0.0,A08800880.,10.04.2020,Peregrina Páez Becerril
136,"76,09",K4643516935,B83160994,62426172D,"['28046', '28046', '31698', '31698', '31698', '28046', '28046']","2,58",243.0,18.02.2010,20.03.2010,243.0,B83160994,25.03.2010,LUCIANA VALENZUELA GAITÁN
137,"12,30",B2684781118,B98729486,90764148F,"['46800', '30878', '46800', '92967', '41080']","2,674",0.0,18.04.2007,18.05.2007,0.0,B98729486,23.05.2007,LILIAN RESTREPO MORILLO
138,"61,17",J2920028511,B27779818,31089278V,"['18400', '18400', '18400', '36206']","4,163",219.0,20.05.2001,19.06.2001,219.0,B27779818,24.06.2001,LEODEGARIO LINES SALDAÑA
139,"227,86",N7621886406,[],30123287A,"['10707', '43374', '10707']","5,240",548.0,17.06.2015,16.08.2015,548.0,DE815824732.,21.08.2015,HOMERO FIGUERAS QUEVEDO
140,"18,12",T4303502616,F55091367,61464175X,"['17003', '19227', '17003']","4,411",0.0,06.04.2001,06.05.2001,0.0,F55091367.,11.05.2001,FLAVIO VALDÉS JARAMILLO
141,"215,83",Z4162318977,B85253888,20711498K,"['28046', '37590', '28046']","4,096",748.0,12.09.1995,11.11.1995,748.0,B85253888.,16.11.1995,Emilio Cevallos Perdomo
142,"33,93",VW5920460644,[],71398288D,"['00198', '16411']","2,790",117.0,14.11.2015,14.12.2015,117.0,5617841001.,19.12.2015,LEONILDA MENESES SOZA
143,"109,35",NE6448710263,B96599006,29537464J,"['45111', '45111', '45111', '46002']","5,349",309.0,23.09.2000,23.10.2000,309.0,B96599006,28.10.2000,Sonia Troncoso Macedo
