num,importe_total,numero_factura,cif,dni,cp,potencia_contratada,consumo,initial_date,final_date
70,374.32,B6519866397,B88489802,41436366A,"['28523', '24879', '28523', '26194', '41080']","1,512",1232,13.09.2006,12.11.2006
71,528.5,Z9833156452,B01804400,39952759B,"['28045', '28045', '46178', '46178', '46178', '28045', '28045']","3,04",1498,12.09.2006,11.11.2006
72,55.91,Z2826090753,[],46472130D,"['19245', '19245', '19245', '35500']","1,312",189,04.12.1998,03.01.1999
73,76.01,EN5995420664,B30929442,54170384W,"['30868', '44540', '30868', '44540', '44540', '30868', '30868']","4,02",317,12.05.1999,11.06.1999
74,181.45,C6367466359,[],12039454N,"['20709', '20709', '20709', '46001']","4,431",588,22.01.1992,21.02.1992
75,123.48,LD3975366044,F46027298,77267929G,"['46168', '17733', '46168']","4,296",298,28.08.2018,27.10.2018
76,433.66,QP6197479377,B65509887,53517917E,"['08500', '16647', '08500']","2,868",1416,26.05.2015,25.07.2015
77,255.32,H9590951317,B55323091,89761126S,"['17310', '36891', '17310']","3,304",752,05.03.2016,05.05.2016
78,152.89,ES1133228080,B24373367,16640519L,"['24380', '17171', '24380', '24840', '41080']","3,868",464,04.06.2003,03.08.2003
79,106.86,S9666486017,B99567364,19218582N,"['50004', '28409', '50004']","4,393",387,06.08.2021,05.09.2021
80,42.44,VJ6758999384,B54985353,11110127T,"['03330', '32138', '03330']","4,300",50,06.01.2020,06.03.2020
81,198.3,V2688379188,[],89751691X,"['34889', '34889', '34889', '88053', '88041', '12100']","2,555",744,20.11.2000,19.01.2001
82,28.53,Z2938855658,B25780800,90906777J,"['08261', '08261', '26586', '26586', '26586', '08261', '08261']","3,69",0,02.03.1991,01.05.1991
83,36.94,EJ3741123689,A28039469,21779668W,"['28108', '40260', '28108']","4,098",122,19.04.2006,19.05.2006
84,174.54,H9899337545,F46004750,51279403Y,"['46610', '45138', '46610', '45138', '45138', '46610', '46610']","2,96",742,27.01.2007,28.03.2007
85,145.99,ZD4845209531,B62139274,53855746G,"['28001', '45440', '28001']","3,276",575,30.03.1991,29.04.1991
86,268.39,FF3164094723,B66823881,89483469Z,"['08350', '33402', '08350']","3,786",958,15.11.2009,14.01.2010
87,28.28,M4923956166,B65960551,91538504E,"['08025', '08025', '28004', '28004', '28004', '44062', '08025', '08025']","3,56",0,17.01.2006,18.03.2006
88,60.85,QP4987916688,[],87068473H,"['19320', '19320', '19320', '28011']","3,006",166,12.06.2013,12.07.2013
89,24.05,V7673144226,B24291833,86937671V,"['24380', '49624', '24380', '23838', '41080']","3,070",0,13.07.2013,11.09.2013
90,262.88,NL1591626563,[],95368073E,"['00198', '46392']","3,693",786,06.05.2014,05.07.2014
91,31.87,Q9902640484,B87095543,32722543Y,"['28023', '28023', '41661', '41661', '41661', '28023', '28023']","4,09",0,07.07.1996,05.09.1996
92,207.42,I7475898200,[],61019767P,"['25170', '25170', '25170', '30150']","4,161",830,07.05.2009,06.07.2009
93,355.7,Y6535302234,[],43606802K,"['33480', '33480', '33480', '28033']","3,882",1100,08.08.2000,07.10.2000
94,114.81,F3163720583,B95695136,83124941C,"['48991', '21209', '48991', '24825', '41080']","3,510",319,08.01.2021,07.02.2021
95,96.46,OW9533470004,B19505049,63753017F,"['28001', '23711', '28001']","3,704",336,25.04.2005,25.05.2005
96,161.92,G6066538371,[],25218424M,"['09259', '09259', '09259', '39009']","4,631",550,03.04.1996,02.06.1996
97,23.83,XR9755126423,B22410286,87730042S,"['22440', '18492', '22440']","5,810",0,29.11.2008,29.12.2008
98,130.65,LV4564314976,B19317304,35544114Y,"['19174', '19174', '25211', '25211', '25211', '19174', '19174']","2,94",442,08.09.2008,07.11.2008
99,60.46,D3391442484,[],92279676L,12520,"4,652",190,22.03.2017,21.04.2017
100,82.43,TO1016699250,B39829197,72165903E,"['39011', '19276', '39011']","4,565",256,18.10.2008,17.11.2008
101,314.86,LZ5009781638,B66027731,18796498R,"['08014', '08014', '15149', '15149', '15149', '08014', '08014']","4,34",954,20.08.2008,19.10.2008
102,49.28,B4288861829,B85634350,84225139J,"['28660', '22194', '28660']","3,417",189,29.11.2019,29.12.2019
103,159.94,T2206947904,B26266106,80276656D,"['26007', '23750', '26007']","3,868",460,07.05.2019,06.07.2019
104,27.14,C1273190823,B25616970,39436973T,"['25630', '15180', '25630']","5,118",30,02.05.2000,01.06.2000
105,40.01,L4325080393,F03013331,53098638X,"['03360', '25592', '03360']","5,110",0,30.12.2011,28.02.2012
106,340.95,C7230448290,B30001770,29429526Z,"['03330', '32434', '03330']","4,626",860,30.03.2008,29.05.2008
107,35.17,ES2455391938,B76654771,45182207H,"['38110', '30749', '38110']","3,813",0,01.10.2004,30.11.2004
108,376.6,R1852185655,B52031168,65329473C,"['52006', '52006', '47209', '47209', '47209', '52006', '52006']","4,21",1234,11.05.2000,10.07.2000
109,78.94,PX5548492507,[],61780913S,16720,"3,191",292,09.11.2007,08.01.2008
110,300.33,UC1821576432,A95758371,32950169R,"['48009', '30860', '48009']","3,714",1088,23.04.2020,22.06.2020
111,137.8,H1099763850,B25829904,61047079L,"['25002', '25002', '09339', '09339', '09339', '25002', '25002']","2,04",447,18.11.2011,18.12.2011
112,315.49,R1435610031,[],93327152Y,"['42315', '42315', '42315', '09500']","4,640",1120,01.03.2000,30.04.2000
113,174.4,QY8482937505,A73987646,42322294V,"['30009', '15316', '30009', '28392', '41080']","2,864",595,05.06.2005,05.07.2005
114,63.84,MO7666278721,[],82447595R,"['33838', '33838', '33838', '44015', '08025', '44002']","5,284",218,09.07.2012,08.08.2012
115,158.9,MN4040302628,A78053147,73904992N,"['28050', '42230', '28050']","4,047",448,06.10.2006,05.12.2006
116,92.81,C7742177472,[],64427822S,"['31243', '31243', '31243', '28001']","5,407",221,27.07.1993,26.08.1993
117,62.3,YH9585589977,[],14794211J,"['10666', '10666', '10666', '28033']","5,234",161,02.05.1995,01.06.1995
118,114.33,LR3851349579,[],43227791G,08737,"6,45",412,01.03.1992,31.03.1992
119,75.66,R4193893245,B84196997,46786291J,"['28033', '28033', '40241', '40241', '40241', '28033', '28033']","3,53",210,28.04.2020,28.05.2020
120,93.8,BN7844757361,[],74315109Q,"['16541', '16541', '16541', '08018']","4,402",321,04.05.1991,03.06.1991
121,316.46,U2896317531,[],37573120K,"['17538', '17538', '17538', '12161']","4,463",810,19.01.2002,20.03.2002
122,61.46,S5998278264,B91794941,63343450R,"['41920', '43459', '41920']","3,741",226,17.01.2012,16.02.2012
123,100.29,V1465036716,B37500238,45439163H,"['28003', '28003', '46016', '46016', '46016', '28003', '28003']","4,77",296,06.10.2014,05.11.2014
124,244.35,T9396049062,[],45498212A,09217,"2,863",622,09.08.2011,08.09.2011
125,246.47,Y2326660743,[],40381701A,"['44121', '44121', '44121', '28221']","2,566",832,25.10.1993,24.12.1993
126,88.58,AZ1221159397,B18831842,96652465W,"['18006', '45589', '18006']","2,495",348,01.04.1993,01.05.1993
127,43.24,YE4274714527,B87579769,14404121A,"['28036', '14910', '28036']","3,113",109,07.06.2010,07.07.2010
128,187.45,B8537057781,B19556299,45949985X,"['29006', '24374', '29006']","3,519",586,25.12.2003,23.02.2004
129,349.1,M1526772068,[],78756554T,"['11159', '11159', '11159', '36450']","2,536",1446,30.11.2008,29.01.2009
130,97.54,DS6614737656,A82808007,83238613A,"['28001', '33456', '28001']","4,666",290,07.08.1993,06.09.1993
131,28.33,R8978802834,F94090792,58986620S,"['36619', '24339', '36619']","2,994",0,09.11.2005,08.01.2006
132,413.24,F5100560518,B98898240,88846004V,"['46800', '47494', '46800']","3,778",1316,22.07.2000,20.09.2000
133,241.32,J5810999038,[],77432649K,"['34408', '34408', '34408', '28028']","5,289",664,17.12.2002,15.02.2003
134,69.19,F3410447867,[],95886381W,"['38410', '38410', '38410', '48009']","2,967",219,25.10.2020,24.11.2020
135,46.88,J1453030892,A08800880,13772783S,"['08930', '19224', '08930']","4,847",0,05.02.2020,05.04.2020
136,76.09,K4643516935,B83160994,62426172D,"['28046', '28046', '31698', '31698', '31698', '28046', '28046']","2,58",243,18.02.2010,20.03.2010
137,12.3,B2684781118,B98729486,90764148F,"['46800', '30878', '46800', '92967', '41080']","2,674",0,18.04.2007,18.05.2007
138,61.17,J2920028511,[],31089278V,"['18400', '18400', '18400', '36206']","4,163",219,20.05.2001,19.06.2001
139,227.86,N7621886406,[],30123287A,"['10707', '43374', '10707']","5,240",548,17.06.2015,16.08.2015
140,18.12,T4303502616,F55091367,61464175X,"['17003', '19227', '17003']","4,411",0,06.04.2001,06.05.2001
141,215.83,Z4162318977,B85253888,20711498K,"['28046', '37590', '28046']","4,096",748,12.09.1995,11.11.1995
142,33.93,VW5920460644,[],71398288D,"['00198', '16411']","2,790",117,14.11.2015,14.12.2015
143,109.35,NE6448710263,[],29537464J,"['45111', '45111', '45111', '46002']","5,349",309,23.09.2000,23.10.2000
144,114.18,K9267093338,A09516717,80290929E,"['09006', '15627', '09006']","5,610",459,02.08.2009,01.09.2009
145,16.54,NS8289726903,[],43777298H,"['46114', '46114', '46114', '28044']","3,879",0,27.06.2009,27.07.2009
146,161.73,US8626384448,[],74658561D,"['04271', '04271', '04271', '03013']","3,675",587,20.08.2017,19.09.2017
147,196.18,U2517084092,[],68512312G,"['09551', '09551', '09551', '04700']","5,477",560,25.05.2021,24.07.2021
148,54.17,Y2021592056,[],17307479W,09227,"3,855",162,18.07.1995,17.08.1995
149,8.96,MT6979884652,B88480330,75709539W,"['28013', '40142', '28013']","2,075",0,20.10.1995,19.11.1995
150,81.16,KW8679642247,B19318401,20756642Q,"['12200', '25577', '12200']","4,638",265,01.04.1999,01.05.1999
151,102.83,KV7788721026,B98953177,57100935P,"['46002', '04662', '46002']","3,275",329,12.01.2000,11.02.2000
152,134.78,D8325825154,[],53000567B,"['49708', '49708', '49708', '08350']","3,771",396,09.04.1990,08.06.1990
153,103.39,X3252781923,[],65775413J,"['39592', '39592', '39592', '22367']","4,606",310,02.05.2018,01.06.2018
154,258.62,HU8278012572,B04787024,53248121Q,"['04700', '29470', '04700']","4,030",886,21.06.2000,20.08.2000
155,18.96,HV4763847672,[],80020843W,"['24114', '24114', '24114', '46026']","4,927",0,09.08.2016,08.09.2016
156,127.72,Q4525385714,B66420407,35969206N,"['08130', '08130', '35002', '35002', '35002', '08130', '08130']","4,30",334,11.06.2016,10.08.2016
157,128.12,PN5045247924,B19505049,95874674W,"['28001', '28001', '42124', '42124', '42124', '28001', '28001']","4,88",403,29.07.2003,28.08.2003
158,96.88,K4287605202,B98882111,13850531T,"['46230', '08274', '46230']","3,856",312,16.05.2019,15.06.2019
159,304.13,H4093244560,A65067332,14941277V,"['28033', '50619', '28033']","2,329",1088,21.02.1998,22.04.1998
160,406.85,ND9243400278,[],40686498G,"['09259', '09259', '09259', '46013']","3,851",1288,13.06.2016,12.08.2016
161,109.01,O8145925048,B73704405,80363962F,"['30709', '30709', '08781', '08781', '08781', '30709', '30709']","3,28",332,22.06.2002,21.08.2002
162,63.86,T1948032727,B25703968,59004163D,"['25600', '32513', '25600']","5,735",206,12.08.1992,11.09.1992
163,102.69,XR1671428823,[],69392720H,"['36845', '36845', '36845', '44095', '44033', '31002']","3,316",316,16.06.1998,15.08.1998
164,139.24,PU5240922877,[],67269637L,37291,"4,970",474,29.06.2021,29.07.2021
165,94.27,U4526089586,A74472911,48424450C,"['48010', '09370', '48010']","5,291",296,27.07.2015,26.08.2015
166,54.2,YJ9305008594,[],16431657C,"['19143', '19143', '19143', '36600']","4,234",125,12.02.2000,13.03.2000
167,104.81,NE6656328902,B25445693,56675039A,"['25172', '01260', '25172']","4,352",454,14.06.2017,14.07.2017
168,131.45,F8669808383,[],11587764L,"['23310', '23310', '23310', '02007']","2,930",508,29.03.2008,28.05.2008
169,69.82,T8153594550,B64445224,55761582Z,"['28001', '09342', '28001', '82129', '41080']","2,222",202,17.11.1995,16.01.1996
170,124.86,H6489511861,B72313992,51045805L,"['11518', '34114', '11518']","3,974",366,31.03.1999,30.04.1999
171,54.83,C2928002370,[],18906998D,"['31860', '31860', '31860', '16092', '16021', '28034']","5,461",135,30.03.2002,29.04.2002
172,122.11,M6668509213,[],47116343S,"['01427', '01427', '01427', '46350']","3,519",362,09.06.2002,09.07.2002
173,153.24,I8261514060,[],67548065D,43559,"4,12",660,25.05.1996,24.06.1996
174,51.61,UQ2580380945,F42212696,87131183F,"['42004', '36391', '42004']","3,270",187,24.10.1996,23.11.1996
175,65.3,EM9336425186,B27512417,32994688S,"['27297', '39506', '27297']","5,025",196,26.07.2005,25.08.2005
176,187.85,Q9706411114,B73977464,81639437V,"['30880', '43340', '30880']","3,206",618,05.12.1991,04.01.1992
177,195.35,S7194290006,B98470727,69045054C,"['46001', '46001', '14208', '14208', '14208', '46001', '46001']","4,44",812,22.06.1995,21.08.1995
178,129.64,E4453432711,B66868902,56048682M,"['08010', '04897', '08010']","3,943",347,04.12.1990,03.01.1991
179,18.06,L9882486528,B55161400,43163389W,"['17244', '13345', '17244']","4,685",0,07.07.2008,06.08.2008
180,47.12,TX2559557909,[],76974243M,"['40331', '40331', '40331', '28046']","5,507",0,12.05.1999,11.07.1999
181,66.94,QE6435775538,[],66392162V,"['04692', '04692', '04692', '36600']","4,904",226,18.06.2006,18.07.2006
182,89.18,H5700052361,B66162421,80107888S,"['08911', '26211', '08911', '26211', '26211', '08911', '08911']","5,63",132,06.02.2005,07.04.2005
183,50.55,PD1629874707,B98476922,80895598K,"['02001', '41929', '02001', '73761', '41080']","3,861",84,09.12.2008,07.02.2009
184,46.49,OL4986821644,[],62436942S,"['46844', '46844', '46844', '39011']","4,897",0,21.03.1995,20.05.1995
185,89.57,B1364624320,[],17555387Q,"['25217', '25217', '25217', '18015']","5,451",208,11.08.2014,10.10.2014
186,107.39,N6335118136,B90472028,57856245K,"['41001', '33002', '41001']","4,018",298,16.03.2000,16.05.2000
187,85.2,WW6343350237,B87086989,91121620J,"['46008', '26329', '46008']","3,213",254,22.02.2014,24.03.2014
188,263.3,ZW3937335658,A61121752,79218478S,"['08400', '24227', '08400']","4,935",796,02.05.2006,01.07.2006
189,207.5,DT4858076870,[],61890602V,"['09341', '09341', '09341', '08242']","5,912",688,29.07.2003,27.09.2003
190,65.91,X8494697279,B76654771,71464763Z,"['38110', '38110', '11520', '11520', '11520', '38110', '38110']","1,96",184,21.08.2011,20.10.2011
191,156.58,JF9136079046,B01813104,70107429W,"['28006', '39310', '28006', '92620', '41080']","3,336",469,12.07.2012,11.08.2012
192,283.11,FW9651319710,[],32252759C,"['11620', '11620', '11620', '28001']","2,771",836,02.01.2021,01.02.2021
193,16.65,Q9720068016,[],12380905M,"['22197', '22197', '22197', '77044', '77027', '42004']","3,938",0,21.05.2018,20.06.2018
194,26.96,NB9525034730,[],13291902H,"['35340', '35340', '35340', '19174']","2,832",67,04.03.2000,03.04.2000
195,99.95,E6776036160,A66585191,85424384S,"['08010', '38913', '08010']","3,468",336,27.01.1999,26.02.1999
196,107.86,IP4259519433,B26558056,35574980Y,"['26001', '08228', '26001']","3,264",363,06.07.2004,05.08.2004
197,58.94,OC1133607628,B74303264,38286278H,"['33430', '24830', '33430', '15701', '41080']","5,253",82,30.07.2006,28.09.2006
198,384.26,O3945995628,B88584016,32866216K,"['28003', '28003', '47180', '47180', '47180', '28003', '28003']","3,92",1090,18.10.2004,17.12.2004
199,36.03,MV3447656689,[],10104712F,"['40291', '40291', '40291', '33007']","2,918",46,11.10.2015,09.12.2015
200,113.6,Q6480887420,A33985540,46202008E,"['33203', '13190', '33203']","3,267",286,20.11.2012,19.01.2013
201,170.39,B7318451293,[],73128643M,44220,"3,09",560,19.12.2013,18.01.2014
202,440.55,W6704829305,B02943991,73071933J,"['18015', '18015', '02488', '02488', '02488', '18015', '18015']","6,95",1318,02.08.1992,01.10.1992
203,103.68,AQ7873812452,[],65748623H,"['02510', '02510', '02510', '25280']","2,262",279,13.04.2019,13.05.2019
204,36.26,I9052003908,[],84824644T,07609,"4,110",0,26.06.1997,25.08.1997
205,92.06,W5055106927,A66783515,80761381D,"['08913', '08913', '49134', '49134', '49134', '08913', '08913']","4,99",264,27.06.1994,26.08.1994
206,46.04,P6672762492,A19240621,15728183R,"['28703', '37609', '28703']","4,436",106,10.07.1992,09.08.1992
207,234.47,S2240837012,B39540760,86051722M,"['39011', '02482', '39011', '10742', '41080']","3,670",598,06.10.1996,05.12.1996
208,184.15,QO4638344986,A28039469,97735693E,"['28108', '35109', '28108']","4,454",582,03.04.2013,02.06.2013
209,52.0,CP7794795095,[],45460304E,"['05192', '05192', '05192', '22450']","2,751",183,06.08.2008,05.09.2008
210,177.83,VS8967966357,B88635289,62798546J,"['28039', '06679', '28039']","4,443",608,03.01.2002,04.03.2002
211,114.89,I5206880103,[],83571330W,"['04746', '04746', '04746', '17244']","4,367",376,13.03.2007,12.05.2007
212,99.86,GN8659485906,B27266279,11735159F,"['27790', '25360', '27790']","3,753",305,04.12.2016,03.01.2017
213,241.03,MB3770642751,B25703968,19251197J,"['25600', '19142', '25600', '19142', '19142', '25600', '25600']","4,36",826,09.10.2017,08.12.2017
214,44.05,KP6274026361,B12820155,92093896X,"['12124', '04160', '12124']","4,288",129,11.05.1998,10.06.1998
215,105.52,E5290678577,A73027930,47367033M,"['30140', '47007', '30140']","4,786",378,07.03.2010,06.05.2010
216,33.75,MT1776983285,[],69086544H,"['49718', '49718', '49718', '08911']","4,313",0,27.11.1996,26.01.1997
217,101.24,V6542043269,[],78410021P,"['46842', '46842', '46842', '07009']","2,265",460,24.01.1992,23.02.1992
218,188.55,A6415294019,B15552060,51879887Y,"['15800', '39723', '15800']","5,063",592,24.01.1998,23.02.1998
219,185.45,XY9126964805,[],17338178L,"['36638', '36638', '36638', '46002']","5,036",542,27.04.1994,27.05.1994
220,404.79,VS5157961546,B72352503,71096583H,"['11012', '11012', '10829', '10829', '10829', '11012', '11012']","1,94",1134,31.01.2001,01.04.2001
221,123.29,B6357501498,[],77379725C,"['31291', '31291', '31291', '24380']","4,095",372,18.11.2014,17.01.2015
222,30.93,PL4579762414,B82410549,16619436G,"['28004', '28004', '12224', '12224', '12224', '28004', '28004']","3,95",34,25.10.1996,24.11.1996
223,123.63,DX7009718282,B64757602,38365847F,"['28020', '31590', '28020', '46812', '41080']","3,995",486,01.04.2007,01.05.2007
224,70.86,L9873675736,B67605584,36830224W,"['08810', '22135', '08810']","3,230",194,03.07.2013,02.08.2013
225,266.51,S4897369344,B17659111,80319695S,"['17844', '17844', '30570', '30570', '30570', '17844', '17844']","5,35",832,05.08.2016,04.10.2016
226,178.94,C5669837760,B25267220,66845537Q,"['25691', '10663', '25691']","3,665",458,24.10.2013,23.12.2013
227,72.06,RY3558427032,B65509887,61612220G,"['08500', '38627', '08500', '96010', '41080']","3,867",194,01.07.2005,31.07.2005
228,162.65,Z5323804300,B40563520,64606839T,"['46023', '15003', '46023']","3,744",634,27.12.2019,25.02.2020
229,571.68,N6358153997,[],75018883J,"['50611', '50611', '50611', '28039']","3,069",1608,25.03.2006,24.05.2006
230,25.22,X7852101475,B22410286,12850130F,"['22440', '17164', '22440', '49774', '41080']","2,776",44,03.05.2012,02.06.2012
231,145.36,O8554400198,A84000884,74384459K,"['28002', '39590', '28002']","3,093",462,13.05.2012,12.07.2012
232,82.9,JN5049058267,B98476922,51624980P,"['02001', '26211', '02001']","4,349",301,02.04.2006,02.05.2006
